ProgramType,Case,Average(us),StdDev(us),Min(us),Max(us),95% CI Lower(us),95% CI Upper(us),Thread Count
Serial,1,9922.80,1207.46,6866,12537,9490.71,10354.89,1
Serial,2,24888.50,1958.90,22396,32390,24187.52,25589.48,1
Serial,3,62597.97,3095.35,55866,67870,61490.31,63705.62,1
Serial,1,9371.57,1328.21,7408,12136,8896.27,9846.86,1
Serial,2,30128.30,8649.95,22292,51608,27032.96,33223.64,1
Serial,3,73601.73,12086.06,60238,122837,69276.79,77926.68,1
Mutex,1,14018.73,1720.71,11090,19281,13402.98,14634.48,1
Mutex,2,26316.17,2217.54,23981,35509,25522.63,27109.70,1
Mutex,3,63769.07,4066.96,57143,80559,62313.73,65224.41,1
Mutex,1,32595.03,5255.70,26032,51905,30714.31,34475.76,2
Mutex,2,74601.90,6281.60,63766,90697,72354.06,76849.74,2
Mutex,3,161914.40,12704.75,140682,190274,157368.06,166460.74,2
Mutex,1,48677.77,3019.70,44209,55196,47597.18,49758.35,4
Mutex,2,96730.33,4528.19,89160,109088,95109.94,98350.73,4
Mutex,3,200675.57,10349.93,185206,223659,196971.89,204379.24,4
Mutex,1,66379.70,4030.04,48919,71816,64937.57,67821.83,8
Mutex,2,116545.23,4380.06,109943,124707,114977.85,118112.62,8
Mutex,3,210619.60,7868.84,200583,227883,207803.77,213435.43,8
RWLock,1,12104.57,1848.48,10079,19606,11443.10,12766.04,1
RWLock,2,25697.30,1088.02,23926,27989,25307.96,26086.64,1
RWLock,3,67543.17,5504.41,57030,83107,65573.44,69512.90,1
RWLock,1,13584.50,2378.39,9114,18350,12733.40,14435.60,2
RWLock,2,34295.03,3846.22,29613,43230,32918.68,35671.38,2
RWLock,3,160993.63,10054.69,150190,196687,157395.61,164591.66,2
RWLock,1,15545.27,1105.96,12995,17679,15149.50,15941.03,4
RWLock,2,42588.27,4592.91,32334,52694,40944.71,44231.82,4
RWLock,3,198137.63,7199.97,184705,213560,195561.16,200714.11,4
RWLock,1,16830.50,1552.14,14686,20173,16275.07,17385.93,8
RWLock,2,52171.33,4272.87,45253,60291,50642.31,53700.36,8
RWLock,3,212333.07,8617.22,194186,233315,209249.43,215416.70,8
Serial,1,10459.53,1758.89,7713,15068,9830.12,11088.94,1
Serial,2,25193.57,2165.31,22250,32337,24418.72,25968.41,1
Serial,3,65596.20,6166.21,57770,89394,63389.65,67802.75,1
