
=== Parallel Program (One Mutex for Entire LinkedList)===
Case,Average(us),StdDev(us),Min(us),Max(us),95% CI Lower(us),95% CI Upper(us),Thread Count
1,20922.17,1414.52,19019,26423,20415.99,21428.35,1
2,34411.53,1950.98,32219,41515,33713.38,35109.68,1
3,64351.80,2386.31,60780,71394,63497.87,65205.73,1
1,43781.83,3089.61,38845,52154,42676.23,44887.44,2
2,84219.87,6251.45,74531,104239,81982.81,86456.92,2
3,167928.13,9127.78,141041,191819,164661.80,171194.47,2
1,64657.63,3292.56,50720,69910,63479.41,65835.86,4
2,106759.00,3372.52,101907,119191,105552.16,107965.84,4
3,208600.67,6541.38,194414,221514,206259.86,210941.47,4
1,76202.00,1653.86,71163,78430,75610.17,76793.83,8
2,118297.37,2523.67,112193,122724,117394.28,119200.45,8
3,225973.17,6907.59,211763,243079,223501.32,228445.02,8
